# Source VNA	Temp 100.0 mK	PDUT -83.0 dBm
# BW 1000 Hz	Points 20001
# LER1942
# PVNA -40 dB	RTAtt -1.0 dB	OutAtt -42 dB
# LNA 35 dB	RTA None dB
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# BBCON not used
#
        Freq(Hz)	          I(S21)	          Q(S21)
1.940227300e+09	1.330148754e-03	2.515236807e-01
1.940227450e+09	8.437884120e-04	2.527114172e-01
1.940227600e+09	1.970220545e-03	2.516418513e-01
1.940227750e+09	1.040058258e-03	2.515060641e-01
1.940227900e+09	2.629289347e-03	2.521484855e-01
1.940228050e+09	1.812558242e-03	2.507382655e-01
1.940228200e+09	4.466935632e-04	2.520754424e-01
1.940228350e+09	9.355569060e-04	2.532705793e-01
1.940228500e+09	1.145394800e-03	2.514314765e-01
1.940228650e+09	1.692205475e-03	2.522920982e-01
1.940228800e+09	4.267986759e-04	2.515772810e-01
1.940228950e+09	1.502691966e-03	2.524467229e-01
1.940229100e+09	1.386029181e-03	2.529709991e-01
1.940229250e+09	2.347026137e-03	2.536646529e-01
1.940229400e+09	3.546286092e-04	2.533890485e-01
1.940229550e+09	1.254068952e-03	2.542945910e-01
1.940229700e+09	3.084849727e-03	2.513294955e-01
1.940229850e+09	1.230389969e-03	2.516314904e-01
1.940230000e+09	2.499524502e-03	2.516648866e-01
1.940230150e+09	2.683158967e-03	2.526566934e-01
1.940230300e+09	2.367652411e-03	2.523575030e-01
1.940230450e+09	2.956088765e-03	2.509367748e-01
1.940230600e+09	3.139366458e-03	2.519117640e-01
1.940230750e+09	1.623789238e-03	2.525438002e-01
1.940230900e+09	4.353422037e-04	2.516362219e-01
1.940231050e+09	1.474614297e-03	2.526523426e-01
1.940231200e+09	3.177883615e-03	2.522607375e-01
1.940231350e+09	1.349594876e-03	2.519021501e-01
1.940231500e+09	1.597040403e-03	2.514313967e-01
1.940231650e+09	1.866577858e-03	2.550869642e-01
1.940231800e+09	5.576948394e-04	2.509367892e-01
1.940231950e+09	1.543149122e-03	2.508872682e-01
1.940232100e+09	2.664064284e-03	2.537554516e-01
1.940232250e+09	2.968016937e-03	2.515142854e-01
1.940232400e+09	3.125774611e-03	2.510587410e-01
1.940232550e+09	1.504904495e-03	2.523834397e-01
1.940232700e+09	2.818681107e-03	2.527628490e-01
1.940232850e+09	3.953980115e-03	2.514434001e-01
1.940233000e+09	2.633115484e-03	2.527480040e-01
1.940233150e+09	3.536378002e-03	2.509370656e-01
1.940233300e+09	2.039274949e-04	2.548756325e-01
1.940233450e+09	3.080431942e-03	2.527775112e-01
1.940233600e+09	2.184252986e-03	2.513283838e-01
1.940233750e+09	3.404057304e-03	2.512945195e-01
1.940233900e+09	2.817638679e-03	2.501060672e-01
1.940234050e+09	3.342618341e-03	2.520299365e-01
1.940234200e+09	2.192013736e-03	2.523318058e-01
1.940234350e+09	3.221396135e-03	2.517754470e-01
1.940234500e+09	3.370381461e-03	2.511933026e-01
1.940234650e+09	2.330415253e-03	2.517880160e-01
1.940234800e+09	3.044340628e-03	2.516733075e-01
1.940234950e+09	1.462365135e-03	2.519406046e-01
1.940235100e+09	3.993619460e-03	2.521940176e-01
1.940235250e+09	2.132314091e-03	2.517987326e-01
1.940235400e+09	2.017469776e-03	2.520957305e-01
1.940235550e+09	3.383475924e-03	2.544947901e-01
1.940235700e+09	3.008988671e-03	2.521505026e-01
1.940235850e+09	4.455031794e-03	2.515176063e-01
1.940236000e+09	3.930265391e-03	2.524289468e-01
1.940236150e+09	4.159618351e-04	2.516421475e-01
1.940236300e+09	3.900407253e-03	2.515812521e-01
1.940236450e+09	1.376521926e-03	2.528547458e-01
1.940236600e+09	2.228570050e-03	2.526462812e-01
1.940236750e+09	3.687091683e-03	2.516537342e-01
1.940236900e+09	3.399088621e-03	2.515047018e-01
1.940237050e+09	2.652730038e-03	2.532188723e-01
1.940237200e+09	3.163689225e-03	2.504963852e-01
1.940237350e+09	3.764620159e-03	2.512080163e-01
1.940237500e+09	2.296730749e-03	2.506845859e-01
1.940237650e+09	2.705897515e-03	2.521440235e-01
1.940237800e+09	2.176967734e-03	2.515211962e-01
1.940237950e+09	1.937891064e-03	2.523395816e-01
1.940238100e+09	3.637375260e-03	2.514930519e-01
1.940238250e+09	3.380341982e-03	2.520018950e-01
1.940238400e+09	1.337790827e-03	2.532021350e-01
1.940238550e+09	3.433586074e-03	2.516598151e-01
1.940238700e+09	4.447770341e-03	2.524374920e-01
1.940238850e+09	4.129547987e-03	2.539777627e-01
1.940239000e+09	3.183199595e-03	2.521104936e-01
1.940239150e+09	2.345435378e-03	2.501514520e-01
1.940239300e+09	1.856862396e-03	2.532976076e-01
1.940239450e+09	1.912442576e-03	2.519902427e-01
1.940239600e+09	3.411191525e-03	2.520478783e-01
1.940239750e+09	2.855612318e-03	2.522609618e-01
1.940239900e+09	3.082755830e-03	2.506274770e-01
1.940240050e+09	1.851887751e-03	2.504792116e-01
1.940240200e+09	2.584058573e-03	2.505311734e-01
1.940240350e+09	3.497636104e-03	2.505485396e-01
1.940240500e+09	3.465254151e-03	2.531866981e-01
1.940240650e+09	4.825193196e-03	2.505444832e-01
1.940240800e+09	3.642379437e-03	2.528576100e-01
1.940240950e+09	3.140459428e-03	2.533484924e-01
1.940241100e+09	2.951240703e-03	2.516441089e-01
1.940241250e+09	1.153448619e-03	2.509452697e-01
1.940241400e+09	2.614994333e-03	2.531322239e-01
1.940241550e+09	3.673403800e-03	2.508095766e-01
1.940241700e+09	2.597733003e-03	2.525364716e-01
1.940241850e+09	3.456871257e-03	2.500785947e-01
1.940242000e+09	4.554185237e-03	2.532834477e-01
1.940242150e+09	1.428215446e-03	2.516598656e-01
1.940242300e+09	4.071228912e-03	2.516142425e-01
1.940242450e+09	3.141864894e-03	2.519507868e-01
1.940242600e+09	4.295359132e-03	2.515970233e-01
1.940242750e+09	3.349007539e-03	2.512444859e-01
1.940242900e+09	3.190318047e-03	2.512415036e-01
1.940243050e+09	3.686936269e-03	2.525498473e-01
1.940243200e+09	2.905857505e-03	2.529089926e-01
1.940243350e+09	4.378667528e-03	2.524339248e-01
1.940243500e+09	4.237925411e-03	2.520300857e-01
1.940243650e+09	4.563860927e-03	2.511066093e-01
1.940243800e+09	3.083287675e-03	2.513711027e-01
1.940243950e+09	4.909452252e-03	2.513100547e-01
1.940244100e+09	4.226131630e-03	2.514344920e-01
1.940244250e+09	2.074337527e-03	2.509098662e-01
1.940244400e+09	3.688142192e-03	2.504352852e-01
1.940244550e+09	1.543689471e-03	2.507351293e-01
1.940244700e+09	4.081598402e-03	2.524507933e-01
1.940244850e+09	4.961126508e-03	2.525516540e-01
1.940245000e+09	5.387766054e-03	2.518763347e-01
1.940245150e+09	3.789209695e-03	2.522650818e-01
1.940245300e+09	3.198236964e-03	2.518290595e-01
1.940245450e+09	5.857055119e-03	2.526728869e-01
1.940245600e+09	4.296711250e-03	2.500788503e-01
1.940245750e+09	5.793535505e-03	2.506709346e-01
1.940245900e+09	5.141481183e-03	2.511478606e-01
1.940246050e+09	4.222251600e-03	2.518926621e-01
1.940246200e+09	4.336872560e-03	2.499404088e-01
1.940246350e+09	4.334329126e-03	2.512566517e-01
1.940246500e+09	2.569368097e-03	2.506947112e-01
1.940246650e+09	4.864337866e-03	2.511322839e-01
1.940246800e+09	5.222082495e-03	2.526586474e-01
1.940246950e+09	4.752244712e-03	2.509276347e-01
1.940247100e+09	5.439583113e-03	2.503632805e-01
1.940247250e+09	5.517032666e-03	2.524565510e-01
1.940247400e+09	2.105659508e-03	2.529596909e-01
1.940247550e+09	4.067183570e-03	2.530791551e-01
1.940247700e+09	4.855118418e-03	2.532967568e-01
1.940247850e+09	4.596185508e-03	2.515954072e-01
1.940248000e+09	3.575931088e-03	2.519729071e-01
1.940248150e+09	5.385369696e-03	2.520975912e-01
1.940248300e+09	4.178371925e-03	2.514422836e-01
1.940248450e+09	3.204912875e-03	2.519878194e-01
1.940248600e+09	3.934258704e-03	2.513457429e-01
1.940248750e+09	3.957362922e-03	2.511817251e-01
1.940248900e+09	5.049946681e-03	2.518944250e-01
1.940249050e+09	4.395286124e-03	2.517819258e-01
1.940249200e+09	3.723177602e-03	2.503238206e-01
1.940249350e+09	5.104246268e-03	2.518144902e-01
1.940249500e+09	5.183503638e-03	2.510854981e-01
1.940249650e+09	5.299103601e-03	2.510411388e-01
1.940249800e+09	4.279039163e-03	2.511314769e-01
1.940249950e+09	5.314104888e-03	2.529044331e-01
1.940250100e+09	3.794351793e-03	2.533501878e-01
1.940250250e+09	6.487929720e-03	2.507708465e-01
1.940250400e+09	4.599256855e-03	2.522234815e-01
1.940250550e+09	3.327413930e-03	2.502175103e-01
1.940250700e+09	5.003196327e-03	2.517329162e-01
1.940250850e+09	5.870480700e-03	2.526366519e-01
1.940251000e+09	3.543905866e-03	2.517818426e-01
1.940251150e+09	3.245928030e-03	2.510526981e-01
1.940251300e+09	3.818538353e-03	2.528282430e-01
1.940251450e+09	4.422992934e-03	2.521277336e-01
1.940251600e+09	4.283441845e-03	2.518123828e-01
1.940251750e+09	4.347638473e-03	2.520785848e-01
1.940251900e+09	3.556231290e-03	2.530536930e-01
1.940252050e+09	4.941717103e-03	2.520890313e-01
1.940252200e+09	3.943891066e-03	2.503754597e-01
1.940252350e+09	3.570619631e-03	2.519156477e-01
1.940252500e+09	3.681856479e-03	2.516770419e-01
1.940252650e+09	4.893365712e-03	2.499510813e-01
1.940252800e+09	3.606084933e-03	2.522975737e-01
1.940252950e+09	6.712061938e-03	2.508058434e-01
1.940253100e+09	5.251218968e-03	2.510516415e-01
1.940253250e+09	5.100450900e-03	2.521660429e-01
1.940253400e+09	4.596248021e-03	2.518763933e-01
1.940253550e+09	4.377021066e-03	2.514598160e-01
1.940253700e+09	3.760600463e-03	2.518270049e-01
1.940253850e+09	5.849426042e-03	2.509266491e-01
1.940254000e+09	5.373423613e-03	2.502515770e-01
1.940254150e+09	5.417158739e-03	2.520302605e-01
1.940254300e+09	4.352128561e-03	2.521439826e-01
1.940254450e+09	4.084714012e-03	2.520952995e-01
1.940254600e+09	5.159499826e-03	2.517700362e-01
1.940254750e+09	6.672810715e-03	2.538353603e-01
1.940254900e+09	6.743732861e-03	2.521692227e-01
1.940255050e+09	4.263381259e-03	2.509342850e-01
1.940255200e+09	5.488586216e-03	2.534130975e-01
1.940255350e+09	5.087614689e-03	2.526669104e-01
1.940255500e+09	4.990194763e-03	2.518525219e-01
1.940255650e+09	4.351743662e-03	2.523330663e-01
1.940255800e+09	5.387086761e-03	2.523560323e-01
1.940255950e+09	5.980977260e-03	2.519712323e-01
1.940256100e+09	6.660676378e-03	2.514521682e-01
1.940256250e+09	6.251378743e-03	2.509308419e-01
1.940256400e+09	5.775327523e-03	2.526009021e-01
1.940256550e+09	3.384124006e-03	2.515751130e-01
1.940256700e+09	6.185133090e-03	2.512625566e-01
1.940256850e+09	6.855432990e-03	2.524182783e-01
1.940257000e+09	6.283624117e-03	2.504790987e-01
1.940257150e+09	4.806198183e-03	2.509342872e-01
1.940257300e+09	5.814254347e-03	2.514505625e-01
1.940257450e+09	5.575231295e-03	2.517076264e-01
1.940257600e+09	4.840758760e-03	2.515763085e-01
1.940257750e+09	5.760181564e-03	2.545831720e-01
1.940257900e+09	4.006464742e-03	2.499166904e-01
1.940258050e+09	3.219891958e-03	2.527223842e-01
1.940258200e+09	4.517857494e-03	2.501404933e-01
1.940258350e+09	6.231361572e-03	2.521454665e-01
1.940258500e+09	6.952468978e-03	2.505702016e-01
1.940258650e+09	7.300227435e-03	2.502627307e-01
1.940258800e+09	4.754501240e-03	2.516436781e-01
1.940258950e+09	5.109735150e-03	2.516946774e-01
1.940259100e+09	5.229818318e-03	2.508752427e-01
1.940259250e+09	5.032808347e-03	2.511145515e-01
1.940259400e+09	6.082875393e-03	2.528115031e-01
1.940259550e+09	5.727625937e-03	2.512391879e-01
1.940259700e+09	5.591326029e-03	2.514618465e-01
1.940259850e+09	6.312404531e-03	2.522370513e-01
1.940260000e+09	5.513141896e-03	2.522132245e-01
1.940260150e+09	6.682771139e-03	2.524381722e-01
1.940260300e+09	4.135642393e-03	2.516121551e-01
1.940260450e+09	4.812440997e-03	2.508916227e-01
1.940260600e+09	5.971787382e-03	2.515481757e-01
1.940260750e+09	5.292878242e-03	2.516159952e-01
1.940260900e+09	5.197487995e-03	2.533098942e-01
1.940261050e+09	5.414089248e-03	2.516645752e-01
1.940261200e+09	5.940004612e-03	2.497008672e-01
1.940261350e+09	6.720331913e-03	2.517197394e-01
1.940261500e+09	8.137376551e-03	2.537812705e-01
