# Source ADC	Temp 100.0 mK	PDUT -80.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1944	PSG 4.5	PRF -4.0
# AttVDUT 12006210005 30.5 dB	AttVIQ 12201130093 26.75 dB
# LOAtt 4.5 dB	InAtt 12.0 dB	OutAtt 7.1 dB
# LNA 30.0 dB	RTA 80.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.013 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 10.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
1.9402852e+09	1.1803526e-01	-6.9665367e-01
1.9402858e+09	1.1785164e-01	-6.9678024e-01
1.9402864e+09	1.1788762e-01	-6.9682462e-01
1.9402870e+09	1.1777244e-01	-6.9682918e-01
1.9402876e+09	1.1728418e-01	-6.9692559e-01
1.9402882e+09	1.1697476e-01	-6.9682660e-01
1.9402888e+09	1.1690189e-01	-6.9690705e-01
1.9402894e+09	1.1628899e-01	-6.9679676e-01
1.9402900e+09	1.1619984e-01	-6.9681263e-01
1.9402906e+09	1.1580796e-01	-6.9687816e-01
1.9402912e+09	1.1557676e-01	-6.9700221e-01
1.9402918e+09	1.1569834e-01	-6.9694372e-01
1.9402924e+09	1.1558762e-01	-6.9696581e-01
1.9402930e+09	1.1507162e-01	-6.9702073e-01
1.9402936e+09	1.1449646e-01	-6.9690303e-01
1.9402942e+09	1.1452604e-01	-6.9718358e-01
1.9402948e+09	1.1435748e-01	-6.9709645e-01
1.9402954e+09	1.1395535e-01	-6.9695889e-01
1.9402960e+09	1.1378727e-01	-6.9725066e-01
1.9402966e+09	1.1364469e-01	-6.9714232e-01
1.9402972e+09	1.1323684e-01	-6.9721954e-01
1.9402978e+09	1.1311933e-01	-6.9706792e-01
1.9402984e+09	1.1279858e-01	-6.9726066e-01
